what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397966792311
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397966833789
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397966839634
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397966859785
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397966863750
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397966863899
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1397966863998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397966866635
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1397966866987
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1397966867156
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1397966867189
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1397966867217
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1397966867221
started,bundle,com.google.gdt.eclipse.designer.hosted.2_0,3.1.2.r37x201307151442,"com.google.gdt.eclipse.designer.hosted.2_0",1397966869941
started,bundle,com.google.gdt.eclipse.designer.hosted.2_2.webkit,3.1.2.r37x201307151442,"com.google.gdt.eclipse.designer.hosted.2_2.webkit",1397966869987
started,bundle,com.google.gdt.eclipse.designer.hosted.2_2.ie,3.1.2.r37x201307151442,"com.google.gdt.eclipse.designer.hosted.2_2.ie",1397966869990
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1397966877026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397966877267
error,log,,,"Designer [3.1.2.r37x201307151447]: com.google.gwt.dev.cfg.ModuleDefLoader.loadFromClassPath(Lcom/google/gwt/core/ext/TreeLogger;Ljava/lang/String;Z)Lcom/google/gwt/dev/cfg/ModuleDef;",1397966877304
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397966884669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397966887754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967047254
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397967062725
started,bundle,com.google.gdt.eclipse.drive,3.5.1.v201312301719-rel-r37,"com.google.gdt.eclipse.drive",1397967065414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967086172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967219375
activated,editor,com.google.gwt.eclipse.core,3.5.1.v201312301719-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1397967242792
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397967250169
activated,editor,com.google.gwt.eclipse.core,3.5.1.v201312301719-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1397967251851
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397967255878
activated,editor,com.google.gwt.eclipse.core,3.5.1.v201312301719-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1397967257326
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397967257326
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397967259706
closed,editor,com.google.gwt.eclipse.core,3.5.1.v201312301719-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1397967259707
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397967262006
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397967262006
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397967263429
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1397967263511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967264866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967268855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1397967269333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397967270170
started,bundle,org.eclipse.mylyn.java.tasks,3.8.4.v20130429-0100,"org.eclipse.mylyn.java.tasks",1397967270862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397967277959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967287130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967288284
error,log,,,"Designer [3.1.2.r37x201307151447]: com.google.gwt.dev.cfg.ModuleDefLoader.loadFromClassPath(Lcom/google/gwt/core/ext/TreeLogger;Ljava/lang/String;Z)Lcom/google/gwt/dev/cfg/ModuleDef;",1397967288305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967298290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967331803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967334670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967359537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1397967359554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967360930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967366148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967368997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967559579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1397967559609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967563105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967564275
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397967564460
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1397967564684
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1397967566635
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1397967566635
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1397967566635
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1397967566635
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1397967566635
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1397967566638
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1397967566638
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1397967566638
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1397967566639
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1397967566639
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1397967566639
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1397967566639
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1397967566639
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1397967566639
